OA11CD,PC_DIST
E00004925,CR0
E00005646,CR0
E00005275,CR0
E00005032,CR0
E00005650,CR0
E00005029,CR0
E00005520,CR0
E00005635,CR0
E00005875,CR0
E00005651,CR0
E00005554,CR0
E00004870,CR0
E00005248,CR0
E00005612,CR0
E00005233,CR0
E00005965,CR0
E00174935,CR0
E00005866,CR0
E00004875,CR0
E00005825,CR0
E00174923,CR0
E00174924,CR0
E00005963,CR0
E00005643,CR0
E00005319,CR0
E00005858,CR0
E00005821,CR0
E00174953,CR0
E00005372,CR0
E00005252,CR0
E00005872,CR0
E00005295,CR0
E00005214,CR0
E00005850,CR0
E00004942,CR0
E00005615,CR0
E00005211,CR0
E00005290,CR0
E00005245,CR0
E00005213,CR0
E00005292,CR0
E00004884,CR0
E00005616,CR0
E00005909,CR0
E00004946,CR0
E00004914,CR0
E00005546,CR0
E00005567,CR0
E00005387,CR0
E00174942,CR0
E00005561,CR0
E00004917,CR0
E00005210,CR0
E00005291,CR0
E00005560,CR0
E00005876,CR0
E00005628,CR0
E00005044,CR0
E00004882,CR0
E00004889,CR0
E00005194,CR0
E00005014,CR0
E00004886,CR0
E00005264,CR0
E00005564,CR0
E00004881,CR0
E00005192,CR0
E00005222,CR0
E00004864,CR0
E00005042,CR0
E00005022,CR0
E00005236,CR0
E00174932,CR0
E00004911,CR0
E00005287,CR0
E00005017,CR0
E00005206,CR0
E00005873,CR0
E00005639,CR0
E00005023,CR0
E00005563,CR0
E00005373,CR0
E00005835,CR0
E00174950,CR0
E00005250,CR0
E00174954,CR0
E00005532,CR0
E00005254,CR0
E00005268,CR0
E00005521,CR0
E00005641,CR0
E00005379,CR0
E00004936,CR0
E00004924,CR0
E00005836,CR0
E00174945,CR0
E00004867,CR0
E00174936,CR0
E00005611,CR0
E00004913,CR0
E00005637,CR0
E00174937,CR0
E00005209,CR0
E00005288,CR0
E00005914,CR0
E00004954,CR0
E00005294,CR0
E00005215,CR0
E00005026,CR0
E00005565,CR0
E00004947,CR0
E00005530,CR0
E00005303,CR0
E00005382,CR0
E00005570,CR0
E00004897,CR0
E00005619,CR0
E00004894,CR0
E00005652,CR0
E00005869,CR0
E00005035,CR0
E00005024,CR0
E00005840,CR0
E00005653,CR0
E00005822,CR0
E00005226,CR0
E00005238,CR0
E00005851,CR0
E00005871,CR0
E00005395,CR0
E00005314,CR0
E00005012,CR0
E00004880,CR0
E00005249,CR0
E00005378,CR0
E00004930,CR0
E00005141,CR0
E00005190,CR0
E00005013,CR0
E00005221,CR0
E00005039,CR0
E00005300,CR0
E00005381,CR0
E00004859,CR0
E00005046,CR0
E00004892,CR0
E00004866,CR0
E00005193,CR0
E00005533,CR0
E00005317,CR0
E00005814,CR0
E00004896,CR0
E00005019,CR0
E00005824,CR0
E00174949,CR0
E00005283,CR0
E00005202,CR0
E00004907,CR0
E00005376,CR0
E00005197,CR0
E00005031,CR0
E00005296,CR0
E00174934,CR0
E00005217,CR0
E00005198,CR0
E00005648,CR0
E00005240,CR0
E00005246,CR0
E00004912,CR0
E00004909,CR0
E00004940,CR0
E00005566,CR0
E00005028,CR0
E00005622,CR0
E00004861,CR0
E00005640,CR0
E00005262,CR0
E00004901,CR0
E00004863,CR0
E00005232,CR0
E00004854,CR0
E00005859,CR0
E00005284,CR0
E00005205,CR0
E00004941,CR0
E00174933,CR0
E00005854,CR0
E00004883,CR0
E00005897,CR0
E00005273,CR0
E00005849,CR0
E00005244,CR0
E00004943,CR0
E00005282,CR0
E00005203,CR0
E00005654,CR0
E00005927,CR0
E00005833,CR0
E00004952,CR0
E00004869,CR0
E00005048,CR0
E00005289,CR0
E00005208,CR0
E00005962,CR0
E00005812,CR0
E00005642,CR0
E00004931,CR0
E00005394,CR0
E00005315,CR0
E00005047,CR0
E00005225,CR0
E00004872,CR0
E00005392,CR0
E00005316,CR0
E00005879,CR0
E00005241,CR0
E00004934,CR0
E00005027,CR0
E00005269,CR0
E00005842,CR0
E00005638,CR0
E00004868,CR0
E00005529,CR0
E00005371,CR0
E00005633,CR0
E00005196,CR0
E00005050,CR0
E00005009,CR0
E00005374,CR0
E00005199,CR0
E00005629,CR0
E00005242,CR0
E00004860,CR0
E00005043,CR0
E00005230,CR0
E00005261,CR0
E00005830,CR0
E00005928,CR0
E00004856,CR0
E00005256,CR0
E00005618,CR0
E00005025,CR0
E00005531,CR0
E00005632,CR0
E00005572,CR0
E00005393,CR0
E00005312,CR0
E00005519,CR0
E00004862,CR0
E00005819,CR0
E00005366,CR0
E00004918,CR0
E00005864,CR0
E00005526,CR0
E00004948,CR0
E00005258,CR0
E00004953,CR0
E00005391,CR0
E00005142,CR0
E00005310,CR0
E00004878,CR0
E00005286,CR0
E00004916,CR0
E00005384,CR0
E00005614,CR0
E00004926,CR0
E00004871,CR0
E00005006,CR0
E00005626,CR0
E00005271,CR0
E00174938,CR0
E00005011,CR0
E00005389,CR0
E00004908,CR0
E00005010,CR0
E00005040,CR0
E00005195,CR0
E00005856,CR0
E00005298,CR0
E00005219,CR0
E00005235,CR0
E00005631,CR0
E00005187,CR0
E00005624,CR0
E00005285,CR0
E00005008,CR0
E00005204,CR0
E00004874,CR0
E00005874,CR0
E00004939,CR0
E00005645,CR0
E00005212,CR0
E00005293,CR0
E00005571,CR0
E00005368,CR0
E00005154,CR0
E00005016,CR0
E00004905,CR0
E00004974,CR0
E00005649,CR0
E00004887,CR0
E00005054,CR0
E00004900,CR0
E00174931,CR0
E00005278,CR0
E00004904,CR0
E00004932,CR0
E00005216,CR0
E00005297,CR0
E00004951,CR0
E00004950,CR0
E00004899,CR0
E00005630,CR0
E00005229,CR0
E00005857,CR0
E00005253,CR0
E00005263,CR0
E00005625,CR0
E00005053,CR0
E00005220,CR0
E00004920,CR0
E00005877,CR0
E00004885,CR0
E00005005,CR0
E00005610,CR0
E00005320,CR0
E00004944,CR0
E00005251,CR0
E00005302,CR0
E00005383,CR0
E00005375,CR0
E00005257,CR0
E00005188,CR0
E00005260,CR0
E00165794,CR0
E00005267,CR0
E00005528,CR0
E00005827,CR0
E00004927,CR0
E00005386,CR0
E00005828,CR0
E00004955,CR0
E00174939,CR0
E00005365,CR0
E00005304,CR0
E00005385,CR0
E00005548,CR0
E00005030,CR0
E00174925,CR0
E00005627,CR0
E00005259,CR0
E00005390,CR0
E00005311,CR0
E00005609,CR0
E00005523,CR0
E00005299,CR0
E00005218,CR0
E00004902,CR0
E00005377,CR0
E00005823,CR0
E00005841,CR0
E00005644,CR0
E00004891,CR0
E00005818,CR0
E00005370,CR0
E00005621,CR0
E00005228,CR0
E00005231,CR0
E00005018,CR0
E00005522,CR0
E00005237,CR0
E00005045,CR0
E00005255,CR0
E00005007,CR0
E00005266,CR0
E00005318,CR0
E00004910,CR0
E00005224,CR0
E00005524,CR0
E00005908,CR0
E00004895,CR0
E00004888,CR0
E00005647,CR0
E00005380,CR0
E00004906,CR0
E00005562,CR0
E00005033,CR0
E00005556,CR0
E00004890,CR0
E00005550,CR0
E00005051,CR0
E00005559,CR0
E00005934,CR0
E00005239,CR0
E00005191,CR0
E00004933,CR0
E00004876,CR0
E00005020,CR0
E00005049,CR0
E00005309,CR2
E00005159,CR2
E00005600,CR2
E00005281,CR2
E00005136,CR2
E00005829,CR2
E00005826,CR2
E00005161,CR2
E00005604,CR2
E00005134,CR2
E00005156,CR2
E00005517,CR2
E00005596,CR2
E00005440,CR2
E00005152,CR2
E00005170,CR2
E00005486,CR2
E00005499,CR2
E00174948,CR2
E00005138,CR2
E00005848,CR2
E00005518,CR2
E00005599,CR2
E00005146,CR2
E00005584,CR2
E00005505,CR2
E00005306,CR2
E00005506,CR2
E00005587,CR2
E00005448,CR2
E00005143,CR2
E00005132,CR2
E00005139,CR2
E00005832,CR2
E00005496,CR2
E00005145,CR2
E00005162,CR2
E00005515,CR2
E00005482,CR2
E00005606,CR2
E00005834,CR2
E00005174,CR2
E00005155,CR2
E00005151,CR2
E00005177,CR2
E00005175,CR2
E00005577,CR2
E00005602,CR2
E00005817,CR2
E00005576,CR2
E00005480,CR2
E00005578,CR2
E00005574,CR2
E00005444,CR2
E00005508,CR2
E00005589,CR2
E00005135,CR2
E00005133,CR2
E00005165,CR2
E00005481,CR2
E00005583,CR2
E00005502,CR2
E00005497,CR2
E00005441,CR2
E00005575,CR2
E00005150,CR2
E00005573,CR2
E00005182,CR2
E00005491,CR2
E00005607,CR2
E00005186,CR2
E00005816,CR2
E00005164,CR2
E00005487,CR2
E00005585,CR2
E00005504,CR2
E00005180,CR2
E00005313,CR2
E00005446,CR2
E00005483,CR2
E00174947,CR2
E00005179,CR2
E00005449,CR2
E00005147,CR2
E00005185,CR2
E00005586,CR2
E00005507,CR2
E00005149,CR2
E00005137,CR2
E00005184,CR2
E00005598,CR2
E00005153,CR2
E00174951,CR2
E00005490,CR2
E00005501,CR2
E00005166,CR2
E00005580,CR2
E00005485,CR2
E00005305,CR2
E00005601,CR2
E00005512,CR2
E00005593,CR2
E00005308,CR2
E00005582,CR2
E00005503,CR2
E00005820,CR2
E00005178,CR2
E00005838,CR2
E00005160,CR2
E00005581,CR2
E00005513,CR2
E00005592,CR2
E00005168,CR2
E00005846,CR2
E00005844,CR2
E00005484,CR2
E00005608,CR2
E00005171,CR2
E00005488,CR2
E00005157,CR2
E00005140,CR2
E00005516,CR2
E00005509,CR2
E00005588,CR2
E00005597,CR2
E00005831,CR2
E00005163,CR2
E00005144,CR2
E00005223,CR2
E00005510,CR2
E00005591,CR2
E00005579,CR2
E00005158,CR2
E00005307,CR2
E00005183,CR2
E00005590,CR2
E00005511,CR2
E00005514,CR2
E00005595,CR2
E00005447,CR2
E00005845,CR2
E00005167,CR2
E00005181,CR2
E00005173,CR2
E00005492,CR2
E00005301,CR2
E00005148,CR2
E00005605,CR2
E00005176,CR2
E00005279,CR2
E00005172,CR2
E00005603,CR2
E00005445,CR2
E00005169,CR2
E00174959,CR3
E00174957,CR3
E00005093,CR3
